Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Sales growth 5Years,Profit growth 5Years,Promoter holding,Change in promoter holding 3Years,Pledged percentage,Dividend yield,Price to book value
L G Balakrishnan,500250,LGBBROSLTD,INE337A01034,Auto Components,Auto Components & Equipments,1781.90,5682.92,17.64,0.09,16.06,10.82,29.89,34.82,0.82,0.00,1.14,2.84
L T Foods,532783,LTFOODS,INE818H01020,Agricultural Food & other Products,Other Agricultural Products,409.70,14226.95,21.88,0.43,16.70,15.99,26.37,51.01,-5.80,0.00,0.74,3.38
L&T Finance Ltd,533519,LTF,INE498L01015,Finance,Non Banking Financial Company (NBFC),274.70,68804.07,24.31,3.72,10.79,2.46,9.23,66.03,-0.12,0.00,1.01,2.67
L&T Technology,540115,LTTS,INE010V01017,IT - Services,IT Enabled Services,3344.85,35454.78,27.63,0.10,22.16,13.68,9.04,73.58,-0.27,0.00,1.62,5.75
La Opala RG,526947,LAOPALA,INE059D01020,Consumer Durables,Glass - Consumer,175.20,1944.75,18.89,0.01,10.93,4.21,2.25,65.84,0.20,0.00,4.25,2.40
Lakshmi Mills,502958,,INE938C01019,Textiles & Apparels,Other Textile Products,7260.05,505.30,,0.15,-0.60,3.79,6.27,65.12,0.81,0.00,0.00,0.57
Landmark Cars,543714,LANDMARK,INE559R01029,Automobiles,Auto Dealer,428.30,1775.91,71.48,1.48,3.09,12.65,21.65,49.76,-5.47,0.00,0.12,3.17
Larsen & Toubro,500510,LT,INE018A01030,Construction,Civil Construction,3901.60,536716.65,31.45,1.32,16.55,11.95,9.73,0.00,0.00,0.00,0.86,5.33
Latent View,543398,LATENTVIEW,INE0I7C01011,IT - Software,Computers - Software & Consulting,298.20,6170.51,30.98,0.02,11.58,22.26,19.80,65.10,-1.21,0.00,0.00,3.78
Laurus Labs,540222,LAURUSLABS,INE947Q01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,1088.25,58749.88,69.67,0.46,7.45,14.42,4.56,27.49,0.29,2.69,0.11,12.16
Laxmi Dental,544339,LAXMIDENTL,INE0WO601020,Healthcare Equipment & Supplies,Medical Equipment & Supplies,192.00,1055.29,39.33,0.04,21.88,9.81,57.51,41.70,,0.00,0.00,4.63
Laxmi Goldorna,,LGHL,INE258Y01016,Consumer Durables,"Gems, Jewellery And Watches",242.00,1212.23,128.28,1.29,19.04,1.91,148.96,74.97,3.45,0.00,0.00,16.19
Laxmi India Fin.,544465,LAXMIINDIA,INE06WU01026,Finance,Non Banking Financial Company (NBFC),100.58,525.74,12.03,2.57,15.66,,,60.45,,0.00,0.00,1.18
Laxmi Organic,543277,LXCHEM,INE576O01020,Chemicals & Petrochemicals,Specialty Chemicals,124.55,3452.68,43.38,0.17,5.93,14.24,17.25,69.35,-3.16,0.00,0.40,1.75
Le Merite Export,,LEMERITE,INE0G1L01017,Textiles & Apparels,Other Textile Products,446.55,1117.88,85.73,0.64,4.74,17.25,8.80,59.65,-13.09,0.00,0.00,8.41
Le Travenues,544192,IXIGO,INE0HV901016,Leisure Services,"Tour, Travel Related Services",169.35,7412.29,125.86,0.04,9.74,52.29,31.79,0.00,,0.00,0.00,10.80
Leela Palaces Hotels,544408,THELEELA,INE0AQ201015,Leisure Services,Hotels & Resorts,425.80,14219.91,40.14,0.28,13.14,,,75.91,,0.00,0.00,2.33
Lemon Tree Hotel,541233,LEMONTREE,INE970X01018,Leisure Services,Hotels & Resorts,113.50,8992.00,37.46,1.67,18.45,13.95,206.78,22.28,-1.33,0.00,0.00,7.28
Lenskart Solut.,544600,LENSKART,INE956O01016,Retailing,Speciality Retail,520.20,90328.28,238.40,0.45,4.32,,,17.57,,0.00,0.00,14.16
LG Electronics,544576,LGEINDIA,INE324D01010,Consumer Durables,Household Appliances,1433.10,97274.86,47.24,0.07,45.18,9.18,3.49,85.00,,0.00,0.00,14.17
LIC Housing Fin.,500253,LICHSGFIN,INE115A01026,Finance,Housing Finance Company,531.70,29246.86,5.39,7.08,16.05,7.33,17.76,45.24,0.00,0.00,1.87,0.76
Life Insurance,543526,LICI,INE0J1Y01017,Insurance,Life Insurance,794.95,502805.69,9.47,0.00,45.72,7.22,77.68,96.50,0.00,0.00,1.52,3.54
Likhitha Infra.,543240,LIKHITHA,INE060901027,Construction,Civil Construction,235.35,928.42,17.68,0.00,20.29,26.01,28.01,70.25,0.22,0.00,0.00,2.33
Linc,531241,LINC,INE802B01027,Household Products,Stationary,101.41,603.29,16.05,0.08,17.63,6.24,14.85,61.02,2.19,0.00,1.47,2.50
Lincoln Pharma.,531633,LINCOLN,INE405C01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,548.75,1099.13,12.52,0.00,12.82,10.03,9.50,49.78,3.44,0.00,0.33,1.55
Linde India,523457,LINDEINDIA,INE473A01011,Chemicals & Petrochemicals,Industrial Gases,7189.10,61308.64,105.06,0.02,12.33,7.12,29.51,75.00,0.00,0.00,0.06,15.51
LKP Finance,507912,,INE724A01017,Finance,Other Financial Services,188.10,1444.76,70.49,0.10,1.07,-6.02,16.70,50.08,-13.54,0.00,0.00,4.17
Lloyds Engineeri,539992,LLOYDSENGG,INE093R01011,Industrial Manufacturing,Industrial Products,49.21,6881.84,42.67,0.16,15.92,,,41.91,-15.75,14.35,0.49,4.87
Lloyds Enterpris,512463,LLOYDSENT,INE080I01025,Metals & Minerals Trading,Trading - Metals,60.77,9078.25,35.62,0.20,2.48,382.34,148.93,62.72,1.81,0.00,0.18,2.81
Lloyds Metals,512455,LLOYDSME,INE281B01032,Minerals & Mining,Industrial Minerals,1483.90,83511.63,33.94,1.06,31.45,78.57,114.60,61.64,-12.97,6.37,0.07,10.50
LMW,500252,LMW,INE269B01029,Industrial Manufacturing,Industrial Products,13675.00,14609.03,120.42,0.00,3.04,13.85,26.84,30.80,-0.33,0.00,0.22,5.17
Lodha Developers,543287,LODHA,INE670K01029,Realty,"Residential, Commercial Projects",791.25,79039.13,23.61,0.45,14.69,2.06,30.94,71.85,-3.15,0.00,0.55,3.66
Lotus Chocolate,523475,,INE026D01011,Food Products,Packaged Foods,846.10,1086.45,181.34,3.08,33.79,52.36,81.28,72.07,0.00,0.00,0.00,16.99
LTIMindtree,540005,LTM,INE214T01019,IT - Software,Computers - Software & Consulting,4570.00,135497.43,26.13,0.10,21.53,28.43,24.78,68.53,-0.16,0.00,1.47,5.79
Lumax Auto Tech.,532796,LUMAXTECH,INE872H01027,Auto Components,Auto Components & Equipments,1729.05,11784.83,45.86,1.05,20.25,26.09,24.69,55.98,0.00,0.00,0.32,11.16
Lumax Industries,517206,LUMAXIND,INE162B01018,Auto Components,Auto Components & Equipments,5279.00,4935.87,28.28,1.21,19.32,16.25,14.19,75.00,0.00,0.00,0.68,6.03
Lupin,500257,LUPIN,INE326A01037,Pharmaceuticals & Biotechnology,Pharmaceuticals,2303.40,105306.66,21.21,0.32,20.62,8.11,54.88,46.89,-0.21,0.00,0.52,5.33
Lux Industries,539542,LUXIND,INE150G01020,Textiles & Apparels,Garments & Apparels,1246.85,3749.48,33.10,0.29,9.81,9.15,-2.00,74.19,0.00,0.00,0.15,2.14
M & B Engineer.,544470,MBEL,INE08N601015,Construction,Civil Construction,304.80,1741.90,18.35,0.19,28.49,13.71,48.25,70.45,,0.00,0.00,2.93
M & M,500520,M&M,INE101A01026,Automobiles,Passenger Cars & Utility Vehicles,3166.80,393800.70,24.59,1.53,18.05,16.13,113.38,18.43,-0.96,0.02,0.80,4.81
M & M Fin. Serv.,532720,M&MFIN,INE774D01024,Finance,Non Banking Financial Company (NBFC),297.25,41316.86,16.71,4.90,10.90,9.07,16.01,52.49,0.33,0.00,2.14,1.71
M B Agro Prod.,,MBAPL,INE900L01010,Fertilizers & Agrochemicals,Fertilizers,539.80,4730.12,45.19,0.68,15.23,52.32,31.10,74.76,0.45,0.00,0.09,10.31
M M Forgings,522241,MMFL,INE227C01017,Auto Components,Auto Components & Equipments,438.25,2115.94,24.43,1.31,14.50,14.67,23.87,56.34,0.00,0.00,0.89,2.30
M R P L,500109,MRPL,INE103A01014,Petroleum Products,Refineries & Marketing,177.15,31047.34,14.24,0.81,0.45,13.52,15.07,88.58,0.00,0.00,2.24,2.36
M T N L,500108,MTNL,INE153A01019,Telecom - Services,Telecom - Cellular & Fixed line services,28.37,1787.31,,,,-15.53,1.87,56.25,-0.57,0.00,0.00,
M.V.K. Agro,,MVKAGRO,INE0SGC01015,Agricultural Food & other Products,Sugar,567.00,2863.57,167.96,0.89,11.07,,,59.82,,0.00,0.00,21.11
Maan Aluminium,532906,MAANALU,INE215I01027,Non - Ferrous Metals,Aluminium,136.20,816.99,53.48,0.44,10.49,9.10,18.64,55.82,-10.22,0.00,0.00,3.90
Mac Charles(I),507836,,INE435D01014,Leisure Services,Hotels & Resorts,680.00,890.79,,16.21,-80.50,-20.25,,73.78,-1.22,0.00,0.00,13.71
Macfos,543787,,INE0OLH01013,Retailing,E-Retail/ E-Commerce,828.95,858.67,41.51,0.51,36.72,73.50,122.36,69.12,-4.53,0.00,0.00,10.71
Macpower CNC,,MACPOWER,INE155Z01011,Industrial Manufacturing,Industrial Products,995.00,995.42,30.27,0.01,19.85,26.14,57.18,73.17,0.06,0.00,0.15,6.44
Madhuveer Com,531910,,INE312M01016,Entertainment,"Film Production, Distribution & Exhibition",220.00,560.56,637.03,0.06,-4.49,,,67.80,63.89,0.00,0.02,13.08
Madras Fertilize,590134,MADRASFERT,INE414A01015,Fertilizers & Agrochemicals,Fertilizers,66.80,1076.16,151.80,23.64,,14.49,20.23,85.27,0.00,0.00,0.00,43.53
Mafatlal Inds.,500264,,INE270B01035,Textiles & Apparels,Other Textile Products,139.00,1003.12,10.41,0.08,12.94,22.80,45.74,69.32,-1.65,0.00,1.46,1.27
Magadh Sugar,540650,MAGADSUGAR,INE347W01011,Agricultural Food & other Products,Sugar,479.00,674.99,7.70,0.41,13.80,7.61,9.03,61.02,0.00,0.00,2.61,0.83
Magellanic Cloud,538891,MCLOUD,INE613C01026,IT - Software,Computers - Software & Consulting,26.22,1544.57,14.22,0.47,22.23,28.02,77.04,54.04,-6.54,39.04,0.12,2.63
Magnus Steel,517320,,INE898E01011,Electrical Equipment,Other Electrical Equipment,108.75,569.79,177.51,2.65,,,17.72,46.13,-1.46,0.00,0.00,721.26
Mah. Scooters,500266,MAHSCOOTER,INE288A01013,Finance,Investment Company,13180.60,15063.53,48.51,0.00,0.61,-2.71,-0.55,51.00,0.00,0.00,1.21,0.46
Mah. Seamless,500265,MAHSEAMLES,INE271B01025,Industrial Products,Iron & Steel Products,609.85,8171.48,9.69,0.00,12.90,14.78,36.46,70.28,2.48,0.00,1.64,1.26
Mahamaya Steel,513554,MAHASTEEL,INE451L01014,Industrial Products,Iron & Steel Products,902.25,1482.79,142.16,0.40,5.01,17.51,24.61,72.80,-0.61,0.00,0.00,9.71
Mahanagar Gas,539957,MGL,INE002S01010,Gas,LPG/CNG/PNG/LNG Supplier,1038.95,10262.56,10.64,0.03,17.72,18.43,4.26,32.50,0.00,0.00,2.87,1.63
Mahindra Holiday,533088,MHRIL,INE998I01010,Leisure Services,Hotels & Resorts,248.35,5017.72,52.91,4.75,19.60,3.23,24.32,66.74,-0.29,0.00,0.00,6.87
Mahindra Life.,532313,MAHLIFE,INE813A01018,Realty,"Residential, Commercial Projects",344.90,7358.16,27.15,0.10,2.19,-9.43,21.57,52.41,1.11,0.00,0.82,2.16
Mahindra Logis.,540768,MAHLOG,INE766P01016,Transport Services,Logistics Solution Provider,384.25,3812.65,,0.59,-7.96,11.95,,59.60,1.50,0.00,0.64,3.36
Maithan Alloys,590078,MAITHANALL,INE683C01011,Ferrous Metals,Ferro & Silica Manganese,951.35,2769.52,6.22,0.11,21.99,-0.16,32.52,74.96,-0.03,0.00,1.70,0.65
Mallcom (India),539400,MALLCOM,INE389C01015,Industrial Products,Other Industrial Products,1097.00,684.52,20.93,0.37,13.76,11.09,16.06,73.68,-0.09,0.00,0.27,2.20
Mamata Machinery,544318,MAMATA,INE0TO701015,Industrial Manufacturing,Industrial Products,362.05,890.95,21.13,0.04,26.89,17.41,108.67,62.45,,0.00,0.14,5.07
Man Industries,513269,MANINDS,INE993A01026,Industrial Products,Iron & Steel Products,433.65,3252.79,17.33,0.29,10.01,14.78,21.41,43.21,-2.48,20.05,0.00,1.64
Man Infra,533169,MANINFRA,INE949H01023,Construction,Civil Construction,93.01,3754.47,16.02,0.01,17.49,32.93,111.14,62.44,-4.68,0.00,0.93,1.70
Manaksia Coated,539046,MANAKCOAT,INE830Q01018,Industrial Products,Iron & Steel Products,106.21,1124.07,27.66,0.31,8.43,26.03,25.91,57.46,-9.97,0.00,0.05,3.40
Manali Petrochem,500268,MANALIPETC,INE201A01024,Chemicals & Petrochemicals,Petrochemicals,51.42,884.45,13.17,0.14,2.92,2.24,-9.74,44.86,0.00,0.00,0.98,0.75
Manappuram Fin.,531213,MANAPPURAM,INE522D01027,Finance,Non Banking Financial Company (NBFC),265.45,22468.59,55.08,3.02,10.14,12.86,-3.69,31.77,-3.43,0.00,1.32,1.77
Manba Finance,544262,MANBA,INE939X01013,Finance,Non Banking Financial Company (NBFC),109.30,549.11,13.01,3.78,13.27,16.28,12.89,74.98,,0.00,0.68,1.40
Mangal Electrica,544492,MEIL,INE0PKD01011,Electrical Equipment,Other Electrical Equipment,257.25,710.78,16.04,0.12,34.13,21.44,74.30,74.79,,0.00,0.00,1.27
Mangalam Cement,502157,MANGLMCEM,INE347A01017,Cement & Cement Products,Cement & Cement Products,870.55,2393.80,29.42,0.82,5.70,6.48,-8.96,40.00,8.04,0.00,0.17,2.67
Mangalam World.,,MWL,INE0JYY01011,Metals & Minerals Trading,Trading - Metals,265.05,787.22,19.07,0.83,13.13,26.52,82.00,66.50,2.53,4.05,0.08,2.96
Mankind Pharma,543904,MANKIND,INE634S01028,Pharmaceuticals & Biotechnology,Pharmaceuticals,2070.85,85490.59,46.06,0.55,14.68,15.79,11.73,72.66,,0.00,0.05,5.58
Manoj Vaibhav,543995,MVGJL,INE0KNT01012,Consumer Durables,"Gems, Jewellery And Watches",167.25,817.00,7.12,0.53,15.03,13.30,32.60,74.27,,0.00,0.00,1.05
Manorama Indust.,541974,MANORAMA,INE00VM01036,Food Products,Other Food Products,1283.00,7660.60,35.47,0.66,28.03,32.57,37.32,54.32,-2.94,0.00,0.05,13.41
Maple Inf. Trust,543925,,INE0M5S23019,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",145.60,10022.49,,1.59,-3.90,31.97,,75.00,,0.00,2.25,2.36
Marathon Nextgen,503101,MARATHON,INE182D01020,Realty,"Residential, Commercial Projects",443.95,2993.13,14.04,0.03,13.16,19.19,43.07,55.92,-18.52,0.00,0.23,1.35
Mardia Samyoung,513544,,INE277E01026,Non - Ferrous Metals,Copper,88.09,596.77,579.40,0.00,24.45,,45.65,69.41,0.00,0.00,0.00,11.31
Marico,531642,MARICO,INE196A01026,Agricultural Food & other Products,Edible Oil,750.15,97380.69,56.81,0.14,41.34,8.17,9.14,58.92,-0.56,2.03,1.41,24.03
Marine Electric.,,MARINE,INE01JE01028,Industrial Manufacturing,Industrial Products,191.55,2649.00,49.73,0.13,11.55,23.88,45.91,68.54,-5.17,0.00,0.16,6.16
Marksans Pharma,524404,MARKSANS,INE750C01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,176.55,8000.59,22.19,0.12,16.77,18.25,25.78,43.87,-5.13,0.00,0.46,2.99
Marsons,517467,MARSONS,INE415B01044,Electrical Equipment,Other Electrical Equipment,138.85,2389.58,72.95,0.02,36.47,,60.70,53.65,-21.35,0.00,0.04,17.12
Maruti Suzuki,532500,MARUTI,INE585B01010,Automobiles,Passenger Cars & Utility Vehicles,13704.35,430868.23,28.78,0.00,15.89,15.11,34.67,58.28,1.91,0.00,1.00,4.29
MAS FINANC SER,540749,MASFIN,INE348L01012,Finance,Non Banking Financial Company (NBFC),311.70,5655.89,16.00,3.53,14.14,17.61,12.81,66.63,-7.10,0.00,0.54,2.02
Mastek,523704,MASTEK,INE759A01021,IT - Software,Computers - Software & Consulting,1606.00,4978.15,12.90,0.20,16.14,26.39,24.87,35.77,-1.50,0.00,1.44,1.86
Master Trust,511768,MASTERTR,INE677D01037,Capital Markets,Stockbroking & Allied,72.70,894.31,7.81,0.22,22.97,33.86,60.53,71.93,-2.91,6.78,0.00,1.19
Matrimony.com,540704,MATRIMONY,INE866R01028,Retailing,Internet & Catalogue Retail,435.25,938.54,28.75,0.22,16.97,1.15,8.90,56.96,5.35,11.89,1.15,3.79
Max Estates,544008,MAXESTATES,INE03EI01018,Realty,"Residential, Commercial Projects",366.65,5992.91,171.98,0.91,2.01,,,44.91,,0.00,0.00,2.58
Max Financial,500271,MFSL,INE180A01020,Insurance,Life Insurance,1600.90,55249.43,384.55,0.34,7.26,20.57,18.01,1.25,-10.20,0.00,0.00,10.42
Max Healthcare,543220,MAXHEALTH,INE027H01010,Healthcare Services,Hospital,958.00,93231.90,63.88,0.33,12.72,46.01,80.50,23.72,-0.06,0.00,0.16,9.27
Max India Ltd,543223,MAXIND,INE0CG601016,Finance,Holding Company,153.45,805.96,,0.44,-30.05,-5.28,9.41,49.89,-1.22,0.00,0.00,1.74
Mayur Uniquoters,522249,MAYURUNIQ,INE040D01038,Consumer Durables,Leather And Leather Products,559.60,2431.61,13.72,0.01,15.39,9.69,11.81,58.59,-0.52,0.00,0.91,2.38
Mazagon Dock,543237,MAZDOCK,INE249Z01020,Industrial Manufacturing,Ship Building & Allied Services,2454.25,98999.55,41.18,0.00,34.02,18.09,37.86,81.22,-3.61,0.00,0.71,11.11
Medi Assist Ser.,544088,MEDIASSIST,INE456Z01021,Insurance,Insurance Distributors,356.20,2660.89,43.18,0.53,17.37,17.82,21.45,4.62,,0.00,0.00,4.59
Media Matrix,512267,,INE200D01020,Entertainment,"Film Production, Distribution & Exhibition",9.80,1110.08,261.81,1.05,1.88,13.95,-16.18,59.32,-1.40,0.00,0.00,8.09
Medplus Health,543427,MEDPLUS,INE804L01022,Retailing,Pharmacy Retail,861.90,10347.51,50.00,0.65,8.80,16.41,131.42,40.30,-0.13,60.74,0.00,5.60
Meesho,544632,MEESHO,INE0VDM01015,Retailing,E-Retail/ E-Commerce,165.65,75603.60,,0.04,-264.00,,,16.76,,0.00,0.00,
Meghmani Organi.,543331,MOL,INE0CT101020,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,48.90,1243.57,30.69,0.55,-0.80,24.35,,48.98,-0.39,0.00,0.00,0.83
Meghna Infracon,538668,,INE898Q01015,Realty,"Residential, Commercial Projects",625.95,1359.79,186.07,0.27,52.57,,,46.92,0.00,0.00,0.01,55.47
Menon Bearings,523828,MENONBE,INE071D01033,Auto Components,Auto Components & Equipments,116.00,650.06,20.90,0.33,16.33,,,68.44,-2.81,0.00,1.71,4.07
Mercury EV-Tech,531357,,INE763M01028,Automobiles,Passenger Cars & Utility Vehicles,31.27,594.05,109.40,0.03,4.18,,,59.18,-3.38,0.00,0.00,2.12
Metro Brands,543426,METROBRAND,INE317I01021,Consumer Durables,Footwear,985.65,26863.53,68.99,0.79,19.01,14.30,16.46,71.83,-2.38,0.00,0.56,14.76
Metropolis Healt,542650,METROPOLIS,INE112L01020,Healthcare Services,Healthcare Service Provider,455.00,9433.44,53.95,0.14,11.53,9.22,-0.56,48.87,-0.89,1.18,0.22,6.55
MIC Electronics,532850,MICEL,INE287C01037,Industrial Products,Other Industrial Products,39.02,940.39,101.21,0.20,5.57,119.49,19.14,55.52,-19.11,0.00,0.00,4.08
Midwest,544587,MIDWESTLTD,INE0XAD01024,Consumer Durables,Granites & Marbles,1321.35,4778.12,44.15,0.35,18.69,,,77.13,,0.00,0.00,7.09
Midwest Gold,526570,,INE519N01014,Other Construction Materials,Other Construction Materials,4700.00,5874.35,,1.89,-6.24,,,57.91,-14.12,0.00,0.00,70.43
Minda Corp,538962,MINDACORP,INE842C01021,Auto Components,Auto Components & Equipments,518.10,12386.68,42.73,0.63,12.11,12.44,127.58,64.84,0.11,0.00,0.27,5.06
Mindspace Busine,543217,MINDSPACE,INE0CCU25019,Realty,Real Estate Investment Trusts (REITs),474.00,37667.68,66.94,0.83,3.39,,150.95,64.45,1.23,47.58,5.06,2.15
Mindteck (India),517344,MINDTECK,INE110B01017,IT - Software,Computers - Software & Consulting,182.25,582.41,19.38,0.02,12.50,8.98,48.70,64.20,-0.20,0.00,0.52,2.09
MIRC Electronics,500279,MIRCELECTR,INE831A01028,Consumer Durables,Consumer Electronics,31.31,1156.53,,0.31,-1.81,4.32,12.47,40.51,-12.85,28.42,0.00,7.35
Mishra Dhatu Nig,541195,MIDHANI,INE099Z01011,Aerospace & Defense,Aerospace & Defense,324.35,6076.38,55.65,0.23,8.05,8.54,-7.17,74.00,0.00,0.00,0.26,4.22
Mishtann Foods,539594,,INE094S01041,Food Products,Packaged Foods,4.73,509.70,1.49,0.04,44.11,,,43.48,-6.29,0.00,0.00,0.44
MMP Industries,,MMP,INE511Y01018,Non - Ferrous Metals,Aluminium,233.85,594.03,14.41,0.54,12.80,23.40,16.10,74.48,0.00,0.00,0.86,1.85
MMTC,513377,MMTC,INE123F01029,Commercial Services & Supplies,Trading & Distributors,59.12,8868.00,78.27,0.02,5.87,-86.52,19.08,89.93,0.00,0.00,0.00,4.63
Mobavenue AI Tech,539682,,INE622Q01019,IT - Software,Software Products,1208.95,1868.98,85.33,0.65,5.09,,,65.60,65.60,0.00,0.08,73.98
Modern Insulator,515008,,INE219W01012,Electrical Equipment,Other Electrical Equipment,278.90,1314.83,20.43,0.07,7.26,2.74,3.19,60.18,-0.02,0.00,0.00,2.61
Modi's Navnirman,543539,MODIS,INE0L0L01012,Realty,"Residential, Commercial Projects",303.10,593.81,23.28,0.01,9.88,27.86,42.41,63.79,-6.41,0.00,0.00,5.05
MOIL,533286,MOIL,INE490G01020,Minerals & Mining,Industrial Minerals,303.20,6169.65,21.27,0.00,14.72,8.87,9.06,64.68,0.00,0.00,1.83,2.34
Mold-Tek Pack.,533080,MOLDTKPAC,INE893J01029,Industrial Products,Packaging,547.05,1817.77,26.77,0.33,9.81,12.30,8.41,33.07,-0.95,2.28,0.73,2.71
Monarch Networth,511551,MONARCH,INE903D01011,Capital Markets,Stockbroking & Allied,295.45,2341.97,14.59,0.01,26.17,36.14,130.66,53.85,3.19,5.47,0.34,2.65
Moneyboxx Fin.,538446,MONEYBOXX,INE296Q01012,Finance,Non Banking Financial Company (NBFC),72.00,502.63,,2.44,0.58,117.17,18.66,46.79,-11.82,7.16,0.00,1.78
Monika Alcobev,544451,,INE0LCG01010,Beverages,Breweries & Distilleries,262.00,561.99,20.73,0.70,28.63,,,62.10,,0.00,0.00,2.51
Monolithisch Ind,,MONOLITH,INE1DV401010,Industrial Products,Electrodes & Refractories,448.00,973.77,49.34,0.00,41.16,,,74.24,,0.00,0.00,8.35
Monte Carlo Fas.,538836,MONTECARLO,INE950M01013,Textiles & Apparels,Garments & Apparels,530.00,1098.81,11.40,0.90,9.78,8.69,4.94,73.17,0.00,0.00,3.75,1.32
Morepen Labs.,500288,MOREPENLAB,INE083A01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,40.10,2197.30,28.81,0.13,11.78,16.26,28.58,35.65,-2.57,0.00,0.50,1.86
Morganite Crucib,523160,,INE599F01020,Industrial Products,Electrodes & Refractories,1316.00,736.95,29.76,0.02,21.35,6.26,16.21,75.00,0.00,0.00,3.74,5.43
Moschip Tech.,532407,MOSCHIP,INE935B01025,IT - Hardware,Computers Hardware & Equipments,172.80,3350.01,81.53,0.13,11.17,36.28,25.89,40.97,-14.18,0.00,0.00,9.07
Motherson Wiring,543498,MSUMI,INE0FS801015,Auto Components,Auto Components & Equipments,38.28,25386.04,40.73,0.14,35.90,,,61.73,0.00,0.00,1.47,13.76
Motil.Oswal.Fin.,532892,MOTILALOFS,INE338I01027,Capital Markets,Stockbroking & Allied,770.45,46370.29,22.82,1.22,25.25,28.74,68.73,67.62,-1.85,0.00,0.79,3.63
Motisons Jewel,544053,MOTISONS,INE0FRK01020,Consumer Durables,"Gems, Jewellery And Watches",13.65,1367.46,20.59,0.12,11.64,16.11,68.68,65.73,,0.00,0.00,3.07
Mphasis,526299,MPHASIS,INE356A01018,IT - Software,Computers - Software & Consulting,2394.80,45697.24,25.04,0.21,18.22,9.98,7.24,30.59,-25.06,0.00,2.45,4.74
MPS,532440,MPSLTD,INE943D01017,Other Consumer Services,E-Learning,1734.05,2966.24,18.04,0.02,30.46,16.99,22.03,68.34,0.00,0.00,4.80,6.05
MRF,500290,MRF,INE883A01011,Auto Components,Tyres & Rubber Products,134328.25,56970.56,24.93,0.19,10.62,11.63,5.75,27.73,-0.14,0.00,0.18,2.90
Mrs Bectors,543253,BECTORFOOD,INE495P01020,Food Products,Packaged Foods,192.00,5894.20,50.00,0.16,14.19,19.74,33.79,49.04,-2.10,0.00,0.62,5.24
Mrugesh Trading,512065,,INE738D01029,Finance,Non Banking Financial Company (NBFC),19.32,1395.77,,0.00,3.81,,37.51,0.25,-74.12,0.00,0.00,20.54
MSP Steel & Pow.,532650,MSPL,INE752G01015,Industrial Products,Iron & Steel Products,35.46,2009.82,124.20,0.31,-3.78,13.64,10.14,37.73,-3.89,75.95,0.00,2.23
MSTC,542597,MSTCLTD,INE255X01014,Commercial Services & Supplies,Trading & Distributors,414.60,2918.80,12.86,0.17,28.37,-24.06,15.18,64.75,0.00,0.00,9.75,3.51
MTAR Technologie,543270,MTARTECH,INE864I01014,Aerospace & Defense,Aerospace & Defense,4235.50,13028.20,191.90,0.25,7.51,25.89,11.04,30.60,-16.58,8.98,0.00,17.41
Mufin Green,542774,MUFIN,INE08KJ01020,Finance,Non Banking Financial Company (NBFC),104.53,1810.78,85.90,2.68,7.89,148.95,39.73,47.30,-10.88,0.00,0.00,5.68
Mukand,500460,MUKANDLTD,INE304A01026,Ferrous Metals,Iron & Steel,133.00,1921.81,31.98,1.89,7.84,10.84,17.98,74.70,0.88,0.00,1.51,2.01
Mukka Proteins,544135,MUKKA,INE0CG401037,Food Products,Animal Feed,22.17,665.10,14.86,1.37,11.10,12.88,32.54,73.33,,0.00,0.00,1.50
Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets,Exchange and Data Platform,2668.85,68053.48,72.57,0.00,34.33,22.84,25.43,0.00,0.00,0.00,0.23,32.59
Munjal Auto Inds,520059,MUNJALAU,INE672B01032,Auto Components,Auto Components & Equipments,77.25,772.50,17.63,0.92,10.14,10.83,57.31,74.81,0.00,0.00,1.31,1.78
Muthoot Finance,533398,MUTHOOTFIN,INE414G01012,Finance,Non Banking Financial Company (NBFC),3508.70,140863.21,16.17,3.93,19.58,15.86,11.18,73.35,0.00,0.00,0.75,3.98
Muthoot Microfin,544055,MUTHOOTMF,INE046W01019,Finance,Microfinance Institutions,161.05,2745.73,,3.20,-8.19,24.39,,55.47,,0.00,0.00,1.02
N R Agarwal Inds,516082,NRAIL,INE740D01017,"Paper, Forest & Jute Products",Paper & Paper Products,418.95,713.02,26.83,0.93,2.35,3.38,-31.16,74.11,0.56,0.00,0.48,0.91
N S D L,544467,,INE301O01023,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",915.70,18314.00,49.12,0.01,17.78,34.22,21.33,0.00,,0.00,0.22,8.47
NACL Industries,524709,NACLIND,INE295D01020,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,168.35,3942.39,,1.13,-25.75,4.00,,53.74,-10.23,0.00,0.00,8.88
Nahar Poly,523391,NAHARPOLY,INE308A01027,Industrial Products,Packaging,245.10,602.66,8.31,0.11,5.69,19.16,4.21,72.50,1.65,0.00,0.41,0.71
