Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Sales growth 5Years,Profit growth 5Years,Promoter holding,Change in promoter holding 3Years,Pledged percentage,Dividend yield,Price to book value
Team Lease Serv.,539658,TEAMLEASE,INE985S01024,Commercial Services & Supplies,Diversified Commercial Services,1200.00,2012.26,14.82,0.13,12.18,16.49,24.49,31.11,-0.40,1.61,0.00,2.09
Tech Mahindra,532755,TECHM,INE669C01036,IT - Software,Computers - Software & Consulting,1456.90,142753.05,29.74,0.07,14.62,7.52,-0.38,34.98,-0.21,0.00,3.17,5.20
Techno Elec.Engg,542141,TECHNOE,INE285K01026,Construction,Civil Construction,1068.95,12431.88,26.53,0.02,12.81,21.09,18.85,56.92,-4.24,0.00,0.83,3.21
Technocraf.Inds.,532804,TIIL,INE545H01011,Industrial Products,Iron & Steel Products,2314.00,5246.47,19.06,0.44,14.46,13.94,15.19,74.75,0.14,0.00,0.87,2.80
Technvision Ven.,501421,,INE314H01012,IT - Software,Software Products,5855.20,3677.06,1015.76,0.87,1.50,12.80,15.38,74.32,0.00,0.00,0.00,329.23
Tega Inds.,543413,TEGA,INE011K01018,Industrial Manufacturing,Industrial Products,1704.25,12803.63,63.44,0.21,15.47,19.06,24.79,67.27,-11.90,0.00,0.12,8.67
Tejas Cargo,,TEJASCARGO,INE17WC01013,Transport Services,Logistics Solution Provider,277.00,661.83,28.85,0.97,16.72,,,74.27,,0.00,0.00,3.56
Tejas Networks,540595,TEJASNET,INE010J01012,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,445.75,7922.83,,1.29,12.77,86.97,30.97,53.46,1.49,0.00,0.56,2.38
Tembo Global,,TEMBO,INE869Y01010,Industrial Products,Iron & Steel Products,536.45,829.74,10.52,1.06,38.34,56.69,85.99,36.38,-28.96,18.34,0.37,3.29
Tenneco Clean,544612,TENNIND,INE19RI01016,Auto Components,Auto Components & Equipments,557.75,22511.05,39.84,0.02,42.63,,,74.79,,0.00,0.00,24.46
Texmaco Infrast.,505400,TEXINFRA,INE435C01024,Commercial Services & Supplies,Diversified Commercial Services,98.85,1259.61,109.92,0.02,-0.51,-3.31,6.07,65.80,0.69,0.00,0.15,0.88
Texmaco Rail,533326,TEXRAIL,INE621L01012,Industrial Manufacturing,Industrial Products,97.91,3983.68,23.91,0.29,6.39,18.24,16.82,48.34,-10.04,0.00,0.76,1.40
TGV Sraac,507753,,INE284B01028,Chemicals & Petrochemicals,Commodity Chemicals,102.16,1094.07,8.69,0.24,8.01,10.95,14.01,64.07,0.89,0.00,0.97,0.88
Thangamayil Jew.,533158,THANGAMAYL,INE085J01014,Consumer Durables,"Gems, Jewellery And Watches",4155.00,12914.62,53.30,0.96,14.88,23.75,21.06,61.61,-5.55,0.00,0.31,11.00
The Anup Enginee,542460,ANUP,INE294Z01018,Industrial Manufacturing,Industrial Products,1871.45,3748.79,32.16,0.25,18.89,24.45,22.18,40.92,-2.06,0.00,0.92,5.89
The Bombay Burmah,501425,BBTC,INE050A01025,Food Products,Packaged Foods,1461.00,10193.70,9.37,0.39,21.94,9.01,13.50,74.05,0.00,0.00,1.14,1.64
The Hi-Tech Gear,522073,HITECHGEAR,INE127B01011,Auto Components,Auto Components & Equipments,589.90,1109.81,49.11,0.36,8.40,5.12,37.02,56.18,-0.04,0.00,0.84,2.20
The Invest.Trust,530023,THEINVEST,INE924D01017,Finance,Other Financial Services,104.30,544.89,18.83,0.73,6.22,-4.84,53.65,72.12,0.00,0.00,0.00,0.75
The Ramco Cement,500260,RAMCOCEM,INE331A01037,Cement & Cement Products,Cement & Cement Products,978.45,23120.03,123.15,0.62,1.42,9.59,-29.61,42.56,0.26,3.42,0.20,3.07
Thejo Engg.,,THEJO,INE121N01019,Industrial Manufacturing,Industrial Products,1601.00,1736.64,34.41,0.12,18.24,12.70,14.44,53.61,-0.83,0.00,0.32,5.38
